name,lat,lon,height
Unnamed,56.5685665,-4.4535897,927.0
Unnamed,56.5181726,-4.5664559,949.0
Beinn Ìme,56.2368829,-4.8167629,1011.0
Stob a' Bruaich Leith,56.5716767,-4.9178447,939.0
Clach Leathad,56.6026319,-4.8682775,1097.0
Sgurr a'Bhuic,56.7883126,-4.9416634,964.0
Unnamed,56.7433080,-5.0579172,917.0
Stob Coire Bhealaich,56.7948516,-4.9454127,1101.0
Beinn Iutharn Bheag,56.8934835,-3.5360468,951.0
Little Glas Maol,56.8675431,-3.3532908,970.0
Càrn an t-Sagairt Mòr,56.9441315,-3.3042184,1047.0
Càrn Bhinnein,56.8689878,-3.4922052,916.0
Meall Coire na Saobhaidhe,56.9705731,-3.2473254,972.0
Cuidhe Cròm,56.9492804,-3.2179713,1082.0
Meikle Pap,56.9595281,-3.2189155,978.0
Eagles Rock,56.9383930,-3.2540975,1051.0
Little Pap,56.9443151,-3.2094630,956.0
Creag an Dail Mhòr,57.0667469,-3.4332921,972.0
Càrn Eàs,57.0746665,-3.4463572,1083.0
Stob Bac an Fhurain,57.1129441,-3.4263586,1076.0
Unnamed,57.4597305,-5.1176945,1005.0
Stob an t-Sluichd,57.1070566,-3.4676625,1104.0
Unnamed,57.1117952,-4.2414719,917.0
Unnamed,56.8284137,-4.3133061,930.0
Meall Dubhag,57.0373994,-3.8465581,998.0
Cac Càrn Mòr,56.9562144,-3.2427693,1148.0
Mullach nan Coirean,56.7498534,-5.0724176,939.0
Binnein Beag,56.7669772,-4.9110831,943.0
West Meur Gorm Craig,57.1156973,-3.3993321,1022.0
Sgùrr Sgumain,57.2055339,-6.2266673,946.0
An Cearcallach,56.9327853,-4.5940402,990.0
Beinn Gharbh,56.8896851,-3.8850442,932.0
The Stuic,56.9506928,-3.2742801,1093.0
Unnamed,57.0349635,-3.6539878,1014.0
Unnamed,57.0101765,-3.7092529,1108.0
Gulvain South Top,56.9258869,-5.2934589,961.0
Unnamed,57.3542643,-5.1219238,1086.0
Unnamed,57.3565143,-5.0478569,972.0
Unnamed,57.3490825,-5.0638416,964.0
Sgùrr nan Clachan Geala,57.3603197,-5.0575837,1095.0
Unnamed,57.4145776,-5.2115842,974.0
Stùc Mor,57.2680183,-5.2288909,1041.0
Stùc Bheag,57.2630289,-5.2282042,1075.0
Sgòran Dubh Mòr,57.0804444,-3.8080051,1111.0
Geal-charn,57.0901053,-3.8431912,920.0
Meall Buidhe,57.0797932,-3.8305051,976.0
Creag an Leth-choin,57.1094443,-3.7048752,1053.0
Beinn a' Bhùird North Top,57.0876067,-3.4994129,1196.0
Sgùrr Dubh Mòr,57.2048966,-6.2118777,944.0
Meall Garbh,56.5155099,-4.3120436,1026.0
Sgorr Bhan,56.6559849,-5.1619973,947.0
Creag Coire nan Each,57.2605369,-5.1289070,1055.0
Unnamed,57.2678196,-5.1351803,1069.0
Unnamed,56.5274669,-4.7114454,993.0
Sron An Isean,56.4340429,-5.0845498,966.0
Meall an Fhuarain Mhoir,57.2234487,-5.3145025,954.0
Sgùrr nan Spainteach,57.1819831,-5.3252578,990.0
Beinn a' Chochuill,56.4498628,-5.0694072,980.0
Unnamed,56.4231590,-5.0878716,947.0
Unnamed,56.3335418,-4.2364150,951.0
East Meur Gorm Craig,57.1207963,-3.3902478,935.0
Unnamed,56.5174094,-4.2945362,923.0
Unnamed,56.5236367,-5.0492263,918.0
Meall Cruidh,56.5293293,-5.0436259,930.0
Stob a' Ghlais Choire,56.6235889,-4.8711062,996.0
Sròn a' Ghearrain,56.5714472,-4.9021769,966.0
Unnamed,56.5369690,-5.0453317,1068.0
Stob Coire Dheirg,56.5387138,-5.0405966,1024.0
Càrn an t-Sagairt Beag,56.9480873,-3.2898903,1044.0
Unnamed,56.8385272,-3.7185288,1004.0
Unnamed,57.0167673,-3.6965562,1020.0
Airgiod Bheinn,56.8277743,-3.7027359,1061.0
Unnamed,57.0852507,-3.6740041,1186.0
Cairn Lochan,57.1027350,-3.6769143,1216.0
Carn Etchachan,57.0883032,-3.6466155,1120.0
Stacan Dubha,57.0940412,-3.6322260,1014.0
Beinn Mheadhoin SW Top,57.0917680,-3.6228061,1163.0
Cnap Leum an Easaich,57.1105907,-3.5122347,917.0
Carn na Criche,57.0626469,-3.7514448,1265.0
Stob Coire an t-Saighdeir,57.0465897,-3.7112224,1213.0
