station_name,station_lat,station_lon,munro_name,munro_lat,munro_lon,distance_km
Stromeferry,57.3522003,-5.5507696,Sgùrr Choinnich,57.4510444,-5.2078843,23.37
Stromeferry,57.3522003,-5.5507696,Lurg Mhor,57.4130905,-5.2236546,20.81
Stromeferry,57.3522003,-5.5507696,Bidein a' Choire Sheasgaich,57.4198091,-5.2503147,19.58
Stromeferry,57.3522003,-5.5507696,An Riabhachan,57.3624340,-5.1047124,26.87
Stromeferry,57.3522003,-5.5507696,An Socach,57.3502275,-5.1586027,23.61
Stromeferry,57.3522003,-5.5507696,Beinn Fhionnlaidh,57.3060187,-5.1299537,25.86
Stromeferry,57.3522003,-5.5507696,Mam Sodhail,57.2799654,-5.1210092,27.12
Stromeferry,57.3522003,-5.5507696,Càrn Eige,57.2877134,-5.1151552,27.21
Stromeferry,57.3522003,-5.5507696,Sgùrr nan Ceathreamhnan,57.2549265,-5.2227914,22.54
Stromeferry,57.3522003,-5.5507696,An Socach,57.2575322,-5.1712947,25.19
Stromeferry,57.3522003,-5.5507696,Mullach na Dheiragain,57.2834020,-5.1863382,23.26
Stromeferry,57.3522003,-5.5507696,Beinn Sgritheall,57.1537644,-5.5796405,22.17
Stromeferry,57.3522003,-5.5507696,Beinn Fhada,57.2210094,-5.2835503,21.75
Stromeferry,57.3522003,-5.5507696,A' Ghlas-bheinn,57.2551949,-5.3039473,18.39
Stromeferry,57.3522003,-5.5507696,Sgurr an Fhir Dhuibhe,57.5851087,-5.3777798,27.94
Stromeferry,57.3522003,-5.5507696,Sgùrr Bàn,57.5847055,-5.3895382,27.64
Stromeferry,57.3522003,-5.5507696,Sail Mhòr,57.5880107,-5.4512234,26.93
Stromeferry,57.3522003,-5.5507696,Spidean a' Choire Leith,57.5642151,-5.4636172,24.18
Stromeferry,57.3522003,-5.5507696,Mullach an Rathain,57.5609005,-5.4924941,23.5
Stromeferry,57.3522003,-5.5507696,Sgurr na Forcan,57.1619610,-5.4078030,22.88
Stromeferry,57.3522003,-5.5507696,Bidean an Eoin Deirg,57.4495288,-5.1621040,25.76
Stromeferry,57.3522003,-5.5507696,Sgùrr an Doire Leathain,57.1368867,-5.2815316,28.97
Stromeferry,57.3522003,-5.5507696,Spidean Dhomhuill Bhric,57.1599530,-5.4376880,22.47
Stromeferry,57.3522003,-5.5507696,Sgùrr Leac nan Each,57.1632967,-5.4450351,21.98
Stromeferry,57.3522003,-5.5507696,Sgùrr nan Saighead,57.2060521,-5.3547155,20.12
Stromeferry,57.3522003,-5.5507696,Carn nam Fiaclan,57.4608844,-5.1296541,28.06
Stromeferry,57.3522003,-5.5507696,Sgùrr na Lapaich,57.3692815,-5.0600239,29.6
Stromeferry,57.3522003,-5.5507696,Unnamed,57.4597305,-5.1176945,28.65
Stromeferry,57.3522003,-5.5507696,Unnamed,57.3542643,-5.1219238,25.82
Stromeferry,57.3522003,-5.5507696,Unnamed,57.3490825,-5.0638416,29.31
Stromeferry,57.3522003,-5.5507696,Sgùrr nan Clachan Geala,57.3603197,-5.0575837,29.7
Stromeferry,57.3522003,-5.5507696,Unnamed,57.4145776,-5.2115842,21.55
Stromeferry,57.3522003,-5.5507696,Stùc Mor,57.2680183,-5.2288909,21.54
Stromeferry,57.3522003,-5.5507696,Stùc Bheag,57.2630289,-5.2282042,21.83
Stromeferry,57.3522003,-5.5507696,Creag Coire nan Each,57.2605369,-5.1289070,27.4
Stromeferry,57.3522003,-5.5507696,Unnamed,57.2678196,-5.1351803,26.75
Stromeferry,57.3522003,-5.5507696,Meall an Fhuarain Mhoir,57.2234487,-5.3145025,20.21
Stromeferry,57.3522003,-5.5507696,Sgùrr nan Spainteach,57.1819831,-5.3252578,23.33
Stromeferry,57.3522003,-5.5507696,An Tudair,57.2676969,-5.1067349,28.37
Stromeferry,57.3522003,-5.5507696,An Leth-chreag,57.2957865,-5.0658082,29.88
Stromeferry,57.3522003,-5.5507696,Sron Gharbh,57.2901992,-5.0802327,29.18
Stromeferry,57.3522003,-5.5507696,Stob a'Choire Dhomhain,57.2915443,-5.0982142,28.09
Stromeferry,57.3522003,-5.5507696,Carn na Con Dhu,57.2679578,-5.1973090,23.28
Stromeferry,57.3522003,-5.5507696,Mullach Sithidh,57.2879714,-5.1838504,23.24
Stromeferry,57.3522003,-5.5507696,Stùc Fraoch Choire,57.2768853,-5.2325821,20.93
Stromeferry,57.3522003,-5.5507696,Stob Coire Lochan,57.2963867,-5.1233395,26.49
Stromeferry,57.3522003,-5.5507696,Unnamed,57.2546442,-5.2298344,22.19
Stromeferry,57.3522003,-5.5507696,Unnamed,57.2525410,-5.1985491,23.96
Stromeferry,57.3522003,-5.5507696,Stob Coire na Cloiche,57.2549020,-5.1918563,24.2
Stromeferry,57.3522003,-5.5507696,Unnamed,57.5888000,-5.3759196,28.36
Stromeferry,57.3522003,-5.5507696,Coinneach Mhor,57.5832141,-5.4391412,26.59
Stromeferry,57.3522003,-5.5507696,Sgurr a' Dubh Doire,57.2153301,-5.2561440,23.41
Plockton,57.3335912,-5.6658916,Ladhar Bheinn,57.0752795,-5.5916930,29.11
Plockton,57.3335912,-5.6658916,Creag nan Damh,57.1472943,-5.3350112,28.8
Plockton,57.3335912,-5.6658916,Sgùrr na Sgine,57.1471139,-5.3966556,26.37
Plockton,57.3335912,-5.6658916,The Saddle,57.1618833,-5.4168361,24.32
Plockton,57.3335912,-5.6658916,Sgùrr na Ciste Duibhe,57.1808993,-5.3369692,26.14
Plockton,57.3335912,-5.6658916,Sgùrr na Càrnach,57.1891053,-5.3492041,24.98
Plockton,57.3335912,-5.6658916,Sgùrr Fhuaran,57.1961624,-5.3477879,24.55
Plockton,57.3335912,-5.6658916,Sàileag,57.1811067,-5.2810334,28.77
Plockton,57.3335912,-5.6658916,Sgùrr Mòr,57.5908139,-5.5728028,29.19
Plockton,57.3335912,-5.6658916,Tom na Gruagaich,57.5805250,-5.5819472,27.96
Plockton,57.3335912,-5.6658916,Sgorr Ruadh,57.4986653,-5.4078179,24.05
Plockton,57.3335912,-5.6658916,Beinn Liath Mhòr,57.5120656,-5.4006515,25.48
Plockton,57.3335912,-5.6658916,Maol Chean-dearg,57.4918824,-5.4655696,21.35
Plockton,57.3335912,-5.6658916,Lurg Mhor,57.4130905,-5.2236546,28.04
Plockton,57.3335912,-5.6658916,Bidein a' Choire Sheasgaich,57.4198091,-5.2503147,26.78
Plockton,57.3335912,-5.6658916,Sgùrr nan Ceathreamhnan,57.2549265,-5.2227914,28.11
Plockton,57.3335912,-5.6658916,Mullach na Dheiragain,57.2834020,-5.1863382,29.44
Plockton,57.3335912,-5.6658916,Beinn Sgritheall,57.1537644,-5.5796405,20.69
Plockton,57.3335912,-5.6658916,Beinn Fhada,57.2210094,-5.2835503,26.25
Plockton,57.3335912,-5.6658916,A' Ghlas-bheinn,57.2551949,-5.3039473,23.5
Plockton,57.3335912,-5.6658916,Blà Bheinn,57.2195711,-6.0931604,28.73
Plockton,57.3335912,-5.6658916,Unnamed,57.2195094,-6.0932012,28.74
Plockton,57.3335912,-5.6658916,Spidean a' Choire Leith,57.5642151,-5.4636172,28.41
Plockton,57.3335912,-5.6658916,Mullach an Rathain,57.5609005,-5.4924941,27.37
Plockton,57.3335912,-5.6658916,Sgurr na Forcan,57.1619610,-5.4078030,24.66
Plockton,57.3335912,-5.6658916,Spidean Dhomhuill Bhric,57.1599530,-5.4376880,23.74
Plockton,57.3335912,-5.6658916,Sgùrr Leac nan Each,57.1632967,-5.4450351,23.18
Plockton,57.3335912,-5.6658916,Sgùrr nan Saighead,57.2060521,-5.3547155,23.54
Plockton,57.3335912,-5.6658916,Unnamed,57.4145776,-5.2115842,28.78
Plockton,57.3335912,-5.6658916,Stùc Mor,57.2680183,-5.2288909,27.34
Plockton,57.3335912,-5.6658916,Stùc Bheag,57.2630289,-5.2282042,27.53
Plockton,57.3335912,-5.6658916,Meall an Fhuarain Mhoir,57.2234487,-5.3145025,24.49
Plockton,57.3335912,-5.6658916,Sgùrr nan Spainteach,57.1819831,-5.3252578,26.6
Plockton,57.3335912,-5.6658916,Carn na Con Dhu,57.2679578,-5.1973090,29.18
Plockton,57.3335912,-5.6658916,Mullach Sithidh,57.2879714,-5.1838504,29.49
Plockton,57.3335912,-5.6658916,Stùc Fraoch Choire,57.2768853,-5.2325821,26.87
Plockton,57.3335912,-5.6658916,Unnamed,57.2546442,-5.2298344,27.72
Plockton,57.3335912,-5.6658916,Unnamed,57.2525410,-5.1985491,29.59
Plockton,57.3335912,-5.6658916,Stob Coire na Cloiche,57.2549020,-5.1918563,29.89
Plockton,57.3335912,-5.6658916,Stob a' Choire Odhair,57.0790938,-5.5814410,28.8
Plockton,57.3335912,-5.6658916,Sgurr a' Dubh Doire,57.2153301,-5.2561440,28.01
Kyle of Lochalsh,57.2802066,-5.7138678,Ladhar Bheinn,57.0752795,-5.5916930,23.99
